tdate,code,score
2019-01-02,A091220,0.6002997340043273
2019-01-02,A091230,0.5733260886214397
2019-01-02,A098560,0.5741704053831852
2019-01-02,A102110,0.4791501789979396
2019-01-02,A105010,0.5703342145222817
2019-01-02,A114820,0.5652063117366571
2019-01-02,A117690,0.5378268215015872
2019-01-02,A123310,0.47548595567539237
2019-01-02,A123320,0.5267450728020303
2019-01-02,A130680,0.4814884330943088
2019-01-02,A133690,0.5768103180550539
2019-01-02,A137610,0.5009880853279624
2019-01-02,A138520,0.44080641593071324
2019-01-02,A138530,0.5052381509052827
2019-01-02,A138540,0.5671500099244047
2019-01-02,A139220,0.43837714230345276
2019-01-02,A139230,0.5779487233239226
2019-01-02,A139240,0.45432225452506003
2019-01-02,A139250,0.5086881232462167
2019-01-02,A139260,0.49070035963990916
2019-01-02,A139270,0.5498516691085595
2019-01-02,A139280,0.5117859033323511
2019-01-02,A139290,0.4739119574201953
2019-01-02,A139310,0.5335786372952864
2019-01-02,A139320,0.46597391827262696
2019-01-02,A143850,0.470445296193126
2019-01-02,A143860,0.5389181563280274
2019-01-02,A147970,0.4543978540680829
2019-01-02,A150460,0.5252732170959509
2019-01-02,A157450,0.751598471216666
2019-01-02,A157490,0.46181046768460376
2019-01-02,A157500,0.4769148592024896
2019-01-02,A160580,0.5139229316518252
2019-01-02,A166400,0.5628742786904528
2019-01-02,A174350,0.5802685575956666
2019-01-02,A182480,0.4740184087505354
2019-01-02,A182490,0.5522203569165369
2019-01-02,A192090,0.5515317179153789
2019-01-02,A195920,0.6044620195604896
2019-01-02,A195930,0.5526143580712927
2019-01-02,A203780,0.6228947487125785
2019-01-02,A204480,0.5554039650495697
2019-01-02,A210780,0.5338926526925672
2019-01-02,A211560,0.49608454296306936
2019-01-02,A217770,0.5878339245170157
2019-01-02,A217780,0.593238358276086
2019-01-02,A217790,0.56851431705431
2019-01-02,A225030,0.51797114905295
2019-01-02,A225040,0.521838672017671
2019-01-02,A225050,0.5703753827722365
2019-01-02,A225060,0.5388895524649028
2019-01-02,A227540,0.6042410036395139
2019-01-02,A227550,0.494578004132546
2019-01-02,A227560,0.6068591268507865
2019-01-02,A227570,0.5143722576789006
2019-01-02,A228790,0.5199605812093359
2019-01-02,A228800,0.5056539603011746
2019-01-02,A228810,0.5439391834459898
2019-01-02,A228820,0.5712511748168101
2019-01-02,A232080,0.4786146063855566
2019-01-02,A233160,0.5771177931117519
2019-01-02,A236350,0.507773664892526
2019-01-02,A237440,0.5417401080064889
2019-01-02,A241180,0.4981198332224824
2019-01-02,A243880,0.5284291117457439
2019-01-02,A243890,0.5739868348498961
2019-01-02,A245340,0.48826925523665504
2019-01-02,A245350,0.5102062149910259
2019-01-02,A245360,0.489079237589732
2019-01-02,A248260,0.5571488397256367
2019-01-02,A248270,0.5607281115224563
2019-01-02,A250780,0.49722727324982835
2019-01-02,A252000,0.5357507598138372
2019-01-02,A252710,0.5344973874654232
2019-01-02,A261060,0.5625987229974082
2019-01-02,A261070,0.5395614324948372
2019-01-02,A261110,0.4758028765577646
2019-01-02,A261120,0.603435589885218
2019-01-02,A261140,0.535314974235693
2019-01-02,A267770,0.5592590940847614
2019-01-02,A269370,0.4826986910883468
2019-01-02,A272580,0.7072238210974814
2019-01-02,A275980,0.5657698323563398
2019-01-02,A276000,0.5590711842126791
2019-01-02,A277630,0.45739882116252883
2019-01-02,A277640,0.5293298869343034
2019-01-02,A277650,0.5208660258886139
2019-01-02,A289250,0.6282813527291613
2019-01-02,A289260,0.4256741113177562
2019-01-02,A289480,0.45717694170729156
2019-01-02,A292150,0.47292018388694235
2019-01-02,A292160,0.529866349205017
2019-01-02,A292560,0.41542902237715235
2019-01-02,A300610,0.4719381505043767
2019-01-02,A302170,0.6300850494754554
2019-01-02,A302180,0.3788543091508927
2019-01-02,A302190,0.6453601064238368
2019-01-02,A305080,0.5841622197040858
2019-01-02,A305540,0.4848388269940558
2019-01-02,A307510,0.5619785294859093
2019-01-02,A307520,0.44077570852036013
2019-01-02,A310960,0.5365776797318401
2019-01-02,A310970,0.5952805336633922
2019-01-03,A091220,0.5882762677196383
2019-01-03,A091230,0.5341060170320816
2019-01-03,A098560,0.5782184112485124
2019-01-03,A102110,0.5025074122763771
2019-01-03,A105010,0.449801261854061
2019-01-03,A114820,0.5172889394734895
2019-01-03,A117690,0.5745243838552148
2019-01-03,A123310,0.5685131078235983
2019-01-03,A123320,0.516495850938693
2019-01-03,A130680,0.4461782092921431
2019-01-03,A133690,0.6255514708448108
2019-01-03,A137610,0.4740144160041387
2019-01-03,A138520,0.47938842416554994
2019-01-03,A138530,0.4471999941902649
2019-01-03,A138540,0.5789148483577167
2019-01-03,A139220,0.5264785306118968
2019-01-03,A139230,0.463579130544057
2019-01-03,A139240,0.5416141969466438
2019-01-03,A139250,0.6078844257903633
2019-01-03,A139260,0.4402221859635917
2019-01-03,A139270,0.4951762323113685
2019-01-03,A139280,0.5491819986644791
2019-01-03,A139290,0.5458233459113705
2019-01-03,A139310,0.5327157788233279
2019-01-03,A139320,0.5413737210218651
2019-01-03,A143850,0.5464273088524012
2019-01-03,A143860,0.5502676480853592
2019-01-03,A147970,0.4982453992650104
2019-01-03,A150460,0.49392475639041394
2019-01-03,A157450,0.7516194973324702
2019-01-03,A157490,0.5257847598387616
2019-01-03,A157500,0.602205953304794
2019-01-03,A160580,0.5764376920717442
2019-01-03,A166400,0.4374787194606809
2019-01-03,A174350,0.5676307144116692
2019-01-03,A182480,0.5378345561272977
2019-01-03,A182490,0.6135711384494974
2019-01-03,A192090,0.5469373788765005
2019-01-03,A195920,0.4876746442279267
2019-01-03,A195930,0.6299590341332807
2019-01-03,A203780,0.577580102189789
2019-01-03,A204480,0.4949269097741662
2019-01-03,A210780,0.5845435221626424
2019-01-03,A211560,0.5439842675072212
2019-01-03,A217770,0.5412676579360608
2019-01-03,A217780,0.5175295640380266
2019-01-03,A217790,0.5307646823792338
2019-01-03,A225030,0.47420908518096355
2019-01-03,A225040,0.536501583446951
2019-01-03,A225050,0.49633138950604416
2019-01-03,A225060,0.6255122730510503
2019-01-03,A227540,0.5499538134762997
2019-01-03,A227550,0.4524037815146685
2019-01-03,A227560,0.5368764310405335
2019-01-03,A227570,0.570207803043392
2019-01-03,A228790,0.38872816133547233
2019-01-03,A228800,0.5196999238810617
2019-01-03,A228810,0.46257424260562363
2019-01-03,A228820,0.6282431091365882
2019-01-03,A232080,0.49589042324371896
2019-01-03,A233160,0.5220834527726183
2019-01-03,A236350,0.5248714167281323
2019-01-03,A237440,0.5430920055015033
2019-01-03,A241180,0.5195823732743068
2019-01-03,A243880,0.5031187100671836
2019-01-03,A243890,0.5369594168887136
2019-01-03,A245340,0.5256287837413692
2019-01-03,A245350,0.5462547217214513
2019-01-03,A245360,0.5418508659916016
2019-01-03,A248260,0.5424363825861342
2019-01-03,A248270,0.4722564190459961
2019-01-03,A250780,0.5921101015014044
2019-01-03,A252000,0.5419779909956474
2019-01-03,A252710,0.4125759966373539
2019-01-03,A261060,0.5350452992990954
2019-01-03,A261070,0.591287721460599
2019-01-03,A261110,0.5318739382321296
2019-01-03,A261120,0.5293522361988424
2019-01-03,A261140,0.5765693958871337
2019-01-03,A267770,0.599724813701464
2019-01-03,A269370,0.560749648480891
2019-01-03,A272580,0.674586060700488
2019-01-03,A275980,0.47250449243643616
2019-01-03,A276000,0.5060489934408907
2019-01-03,A277630,0.5024309138587986
2019-01-03,A277640,0.5719163548730025
2019-01-03,A277650,0.4159780690243386
2019-01-03,A289250,0.6317543028993357
2019-01-03,A289260,0.49022564064897534
2019-01-03,A289480,0.4582865842846376
2019-01-03,A292150,0.39475736799777444
2019-01-03,A292160,0.44672342838405205
2019-01-03,A292560,0.547001044365877
2019-01-03,A300610,0.36250468616591086
2019-01-03,A302170,0.6516612253510145
2019-01-03,A302180,0.4528312477199981
2019-01-03,A302190,0.6354405464293672
2019-01-03,A305080,0.4894882211984703
2019-01-03,A305540,0.4633415045660964
2019-01-03,A307510,0.5527788995136201
2019-01-03,A307520,0.3771756574181502
2019-01-03,A310960,0.5278114685517584
2019-01-03,A310970,0.5618878439661601
2019-01-04,A091220,0.4389277392562346
2019-01-04,A091230,0.5315823590194818
2019-01-04,A098560,0.5883482722230043
2019-01-04,A102110,0.47451524448474447
2019-01-04,A105010,0.4138569413178869
2019-01-04,A114820,0.6480224184090183
2019-01-04,A117690,0.49577597898759357
2019-01-04,A123310,0.5527529652596441
2019-01-04,A123320,0.4971131079461375
2019-01-04,A130680,0.5375768716716203
2019-01-04,A133690,0.6885347828932648
2019-01-04,A137610,0.47265513453485813
2019-01-04,A138520,0.46793097562852104
2019-01-04,A138530,0.49248212910988043
2019-01-04,A138540,0.5397518157363353
2019-01-04,A139220,0.6334930948247385
2019-01-04,A139230,0.448444257210513
2019-01-04,A139240,0.49034091151930087
2019-01-04,A139250,0.5105566244086399
2019-01-04,A139260,0.48863580845553517
2019-01-04,A139270,0.5411775398284643
2019-01-04,A139280,0.47718446014955046
2019-01-04,A139290,0.540864025215534
2019-01-04,A139310,0.4400327007278684
2019-01-04,A139320,0.5567193348702162
2019-01-04,A143850,0.4361165081644219
2019-01-04,A143860,0.6035570463981813
2019-01-04,A147970,0.580832975005069
2019-01-04,A150460,0.5625416320173037
2019-01-04,A157450,0.7516515398529103
2019-01-04,A157490,0.5817940674588474
2019-01-04,A157500,0.5015119518502328
2019-01-04,A160580,0.6125020613021384
2019-01-04,A166400,0.5073949683861939
2019-01-04,A174350,0.5723015105162091
2019-01-04,A182480,0.5145613990608313
2019-01-04,A182490,0.6188878773305923
2019-01-04,A192090,0.556490910443812
2019-01-04,A195920,0.6036865460196005
2019-01-04,A195930,0.5125242030653935
2019-01-04,A203780,0.4989892863495106
2019-01-04,A204480,0.5674399166903544
2019-01-04,A210780,0.5592310002697247
2019-01-04,A211560,0.495374641776607
2019-01-04,A217770,0.6036741136354524
2019-01-04,A217780,0.5150689683290467
2019-01-04,A217790,0.5418239860571471
2019-01-04,A225030,0.4675335336315533
2019-01-04,A225040,0.5298128359427797
2019-01-04,A225050,0.47356397592650046
2019-01-04,A225060,0.5504954460028335
2019-01-04,A227540,0.5356218439945116
2019-01-04,A227550,0.519404637236772
2019-01-04,A227560,0.488886707537966
2019-01-04,A227570,0.4762925710785007
2019-01-04,A228790,0.47650738628289596
2019-01-04,A228800,0.46600991532882635
2019-01-04,A228810,0.5091233796165918
2019-01-04,A228820,0.5813503070455922
2019-01-04,A232080,0.3855078444580748
2019-01-04,A233160,0.5059201320472787
2019-01-04,A236350,0.49601866876450035
2019-01-04,A237440,0.5244294525169856
2019-01-04,A241180,0.5801962374523424
2019-01-04,A243880,0.5137450357483055
2019-01-04,A243890,0.4554998541280609
2019-01-04,A245340,0.470947182890806
2019-01-04,A245350,0.5389373274219965
2019-01-04,A245360,0.5357536778226621
2019-01-04,A248260,0.5176580496786353
2019-01-04,A248270,0.5681474654801323
2019-01-04,A250780,0.5798170612716539
2019-01-04,A252000,0.43752443672682184
2019-01-04,A252710,0.5657911855559826
2019-01-04,A261060,0.546089717653353
2019-01-04,A261070,0.5598029024618374
2019-01-04,A261110,0.504580908027689
2019-01-04,A261120,0.5686859066097687
2019-01-04,A261140,0.585853966408228
2019-01-04,A267770,0.496743327308707
2019-01-04,A269370,0.45880167417604906
2019-01-04,A272580,0.6165789723359483
2019-01-04,A275980,0.5336423197635903
2019-01-04,A276000,0.5247719305651765
2019-01-04,A277630,0.48453023692262204
2019-01-04,A277640,0.5758892865390675
2019-01-04,A277650,0.4446700638567352
2019-01-04,A289250,0.6000360525812395
2019-01-04,A289260,0.412079721940869
2019-01-04,A289480,0.6062491454085243
2019-01-04,A292150,0.6188526104145885
2019-01-04,A292160,0.5766917259204756
2019-01-04,A292560,0.5690071869912847
2019-01-04,A300610,0.5933173396301604
2019-01-04,A302170,0.6383604308085516
2019-01-04,A302180,0.38873068460449595
2019-01-04,A302190,0.6394117213694193
2019-01-04,A305080,0.5236823731736259
2019-01-04,A305540,0.5172299984419249
2019-01-04,A307510,0.5718735438816586
2019-01-04,A307520,0.35489159613686466
2019-01-04,A310960,0.4857758858859875
2019-01-04,A310970,0.5745390784086184
2019-01-07,A091220,0.5035093917593164
2019-01-07,A091230,0.510715428423767
2019-01-07,A098560,0.5257989656379937
2019-01-07,A102110,0.3681025426816174
2019-01-07,A105010,0.5598946897534319
2019-01-07,A114820,0.6079049995498664
2019-01-07,A117690,0.6068342559989681
2019-01-07,A123310,0.46747355457491757
